Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
92978567,000001A0,false,Rx,1,8,FB,05,71,F2,3F,00,00,00,
92978821,000001AC,false,Rx,1,8,41,05,FF,F3,BF,FF,15,03,
92979132,17F00085,true,Rx,1,8,20,85,00,00,00,00,01,80,
92979423,1A5554A7,true,Rx,1,8,02,A0,02,00,00,00,00,80,
92979722,1A555510,true,Rx,1,8,00,34,4E,30,30,D5,00,00,
92980024,1B000085,true,Rx,1,8,85,40,01,0C,00,00,00,00,
92984585,000001A0,false,Rx,1,8,31,07,71,F2,3F,00,00,00,
92984839,000001AC,false,Rx,1,8,09,07,FF,F3,BF,FF,15,03,
93070705,000001A0,false,Rx,1,8,A0,08,71,F2,3F,00,00,00,
93070960,000001AC,false,Rx,1,8,E6,08,FF,F3,BF,FF,15,03,
93071208,000002C0,false,Rx,1,8,6D,0A,00,35,E0,3F,02,00,
93074567,000001A0,false,Rx,1,8,71,0B,71,F2,3F,00,00,00,
93074811,000001AC,false,Rx,1,8,A3,0B,FF,F3,BF,FF,15,03,
93084611,000001A0,false,Rx,1,8,AB,0C,71,F2,3F,00,00,00,
93084865,000001AC,false,Rx,1,8,E5,0C,FF,F3,BF,FF,15,03,
93085115,000002C0,false,Rx,1,8,28,0B,00,35,E0,3F,02,00,
93104577,000001A0,false,Rx,1,8,E9,0D,71,F2,3F,00,00,00,
93104821,000001AC,false,Rx,1,8,DD,0D,FF,F3,BF,FF,15,03,
93124581,000001A0,false,Rx,1,8,90,0E,71,F2,3F,00,00,00,
93124836,000001AC,false,Rx,1,8,BA,0E,FF,F3,BF,FF,15,03,
93149031,000001A0,false,Rx,1,8,83,0F,71,F2,3F,00,00,00,
93149852,000001AC,false,Rx,1,8,F8,0F,FF,F3,BF,FF,15,03,
93150152,1B000085,true,Rx,1,8,85,40,01,0C,00,00,00,00,
93167878,000001A0,false,Rx,1,8,74,00,71,F2,3F,00,00,00,
93168133,000001AC,false,Rx,1,8,5B,00,FF,F3,BF,FF,15,03,
93168392,000002C0,false,Rx,1,8,70,0C,00,35,E0,3F,02,00,
93184568,000001A0,false,Rx,1,8,C3,01,71,F2,3F,00,00,00,
93184822,000001AC,false,Rx,1,8,95,01,FF,F3,BF,FF,15,03,
93205309,000001A0,false,Rx,1,8,B2,02,71,F2,3F,00,00,00,
93205564,000001AC,false,Rx,1,8,6F,02,FF,F3,BF,FF,15,03,
93227944,000001A0,false,Rx,1,8,C2,03,71,F2,3F,00,00,00,
93228200,000001AC,false,Rx,1,8,A5,03,FF,F3,BF,FF,15,03,
93245215,000001A0,false,Rx,1,8,CE,04,71,F2,3F,00,00,00,
93246129,000001A0,false,Rx,1,8,CE,04,71,F2,3F,00,00,00,
93246377,000001AC,false,Rx,1,8,E0,04,FF,F3,BF,FF,15,03,
93246637,000002C0,false,Rx,1,8,18,0D,00,35,E0,3F,02,00,
93333837,000001A0,false,Rx,1,8,FB,05,71,F2,3F,00,00,00,
93334084,000001AC,false,Rx,1,8,41,05,FF,F3,BF,FF,15,03,
93334342,000002C0,false,Rx,1,8,86,0E,00,35,E0,3F,02,00,
93334611,000001A0,false,Rx,1,8,A0,08,71,F2,3F,00,00,00,
93334860,000001AC,false,Rx,1,8,E6,08,FF,F3,BF,FF,15,03,
93335161,1B000085,true,Rx,1,8,85,40,01,0C,00,00,00,00,
93344561,000001A0,false,Rx,1,8,36,09,71,F2,3F,00,00,00,
93344816,000001AC,false,Rx,1,8,27,09,FF,F3,BF,FF,15,03,
93364566,000001A0,false,Rx,1,8,14,0A,71,F2,3F,00,00,00,
93364811,000001AC,false,Rx,1,8,0B,0A,FF,F3,BF,FF,15,03,
93384590,000001A0,false,Rx,1,8,71,0B,71,F2,3F,00,00,00,
93384835,000001AC,false,Rx,1,8,A3,0B,FF,F3,BF,FF,15,03,
93404562,000001A0,false,Rx,1,8,AB,0C,71,F2,3F,00,00,00,
93404807,000001AC,false,Rx,1,8,E5,0C,FF,F3,BF,FF,15,03,
93405068,000002C0,false,Rx,1,8,AA,0F,00,35,E0,3F,02,00,
93424550,000001A0,false,Rx,1,8,E9,0D,71,F2,3F,00,00,00,
93424806,000001AC,false,Rx,1,8,DD,0D,FF,F3,BF,FF,15,03,
93444897,000001A0,false,Rx,1,8,90,0E,71,F2,3F,00,00,00,
93445152,000001AC,false,Rx,1,8,BA,0E,FF,F3,BF,FF,15,03,
93445453,17F00085,true,Rx,1,8,20,85,00,00,00,00,01,80,
93445752,1A5554A7,true,Rx,1,8,02,A0,02,00,00,00,00,80,
93502112,000001A0,false,Rx,1,8,83,0F,71,F2,3F,00,00,00,
93502368,000001AC,false,Rx,1,8,F8,0F,FF,F3,BF,FF,15,03,
93502626,000002C0,false,Rx,1,8,32,00,00,35,E0,3F,02,00,
93537695,000001A0,false,Rx,1,8,C3,01,71,F2,3F,00,00,00,
93537951,000001AC,false,Rx,1,8,95,01,FF,F3,BF,FF,15,03,
93538262,1B000085,true,Rx,1,8,85,40,01,0C,00,00,00,00,
